k,n,width,height,time
16,50,6016,3384,4.074467
16,50,6016,3384,4.073845
32,50,6016,3384,3.243640
32,50,6016,3384,3.244694
64,50,6016,3384,2.734305
64,50,6016,3384,2.735035
128,50,6016,3384,2.944421
128,50,6016,3384,2.945056
256,50,6016,3384,4.630348
256,50,6016,3384,4.630614
16,50,5120,2880,2.747993
16,50,5120,2880,2.748015
32,50,5120,2880,2.225512
32,50,5120,2880,2.223633
64,50,5120,2880,1.974087
64,50,5120,2880,1.974443
128,50,5120,2880,2.123082
128,50,5120,2880,2.121303
256,50,5120,2880,3.347913
256,50,5120,2880,3.347534
16,50,3840,2160,1.665443
16,50,3840,2160,1.665269
32,50,3840,2160,1.251587
32,50,3840,2160,1.252708
64,50,3840,2160,1.038321
64,50,3840,2160,1.038099
128,50,3840,2160,1.174473
128,50,3840,2160,1.174432
256,50,3840,2160,1.886276
256,50,3840,2160,1.886488
16,50,1920,1080,0.390929
16,50,1920,1080,0.390973
32,50,1920,1080,0.283106
32,50,1920,1080,0.283054
64,50,1920,1080,0.226296
64,50,1920,1080,0.226266
128,50,1920,1080,0.291491
128,50,1920,1080,0.291834
256,50,1920,1080,0.475691
256,50,1920,1080,0.475574
16,50,1280,720,0.171330
16,50,1280,720,0.171377
32,50,1280,720,0.130423
32,50,1280,720,0.130320
64,50,1280,720,0.098906
64,50,1280,720,0.098936
128,50,1280,720,0.129867
128,50,1280,720,0.129902
256,50,1280,720,0.211820
256,50,1280,720,0.211812
16,50,900,600,0.055186
16,50,900,600,0.055229
32,50,900,600,0.051219
32,50,900,600,0.051171
64,50,900,600,0.052086
64,50,900,600,0.051860
128,50,900,600,0.075362
128,50,900,600,0.075460
256,50,900,600,0.124107
256,50,900,600,0.124092
16,50,640,480,0.060420
16,50,640,480,0.060337
32,50,640,480,0.043917
32,50,640,480,0.044032
64,50,640,480,0.033225
64,50,640,480,0.033241
128,50,640,480,0.044684
128,50,640,480,0.044665
256,50,640,480,0.072383
256,50,640,480,0.072435
16,50,320,240,0.013840
16,50,320,240,0.013870
32,50,320,240,0.011359
32,50,320,240,0.011183
64,50,320,240,0.009104
64,50,320,240,0.009087
128,50,320,240,0.012216
128,50,320,240,0.012243
256,50,320,240,0.019576
256,50,320,240,0.019483
